ID,QID,Group,Item,Content
332.0,59.0,IMMS,Item01,A atividade teve coisas que estimularam minha curiosidade
333.0,59.0,IMMS,Item02,Eu realmente gostei de participar na atividade
334.0,59.0,IMMS,Item03,A quantidade de tarefas repetitivas na atividade me causou tédio algumas vezes
335.0,59.0,IMMS,Item04,As tarefas e sua organização na atividade transmitiram a impressão de que valia a pena realizá-la
336.0,59.0,IMMS,Item05,Aprendi algumas coisas que foram surpreendentes e/ou inesperadas
337.0,59.0,IMMS,Item06,A atividade não foi relevante para minhas necessidades pois eu já sabia grande parte dela
338.0,59.0,IMMS,Item07,"O feedback ou outros elementos fornecidos na atividade, me ajudou a me sentir recompensado pelo meu esforço"
339.0,59.0,IMMS,Item08,"A variedade de tarefas e coisas no ambiente, ajudou a manter minha atenção na atividade"
340.0,59.0,IMMS,Item09,O ambiente e as tarefas da atividade foram chatos ou entediantes
341.0,59.0,IMMS,Item10,"Eu poderia relacionar as tarefas da atividade com coisas que eu vi, fiz ou pensei durante a minha vida"
342.0,59.0,IMMS,Item11,"Houve, no ambiente de execução da atividade, muitas coisas que o tornaram irritantes"
343.0,59.0,IMMS,Item12,As tarefas da atividade serão úteis para mim
344.0,59.0,IMMS,Item13,Foi um prazer trabalhar em uma atividade tão bem planejada
345.0,59.0,IMI,Item01,Não me esforcei muito para realizar bem a atividade
346.0,59.0,IMI,Item02,Eu me senti muito tenso ao realizar a atividade
347.0,59.0,IMI,Item03,Fiz a atividade porque eu tinha que fazer
348.0,59.0,IMI,Item04,Eu me senti ansioso enquanto trabalhava na atividade
349.0,59.0,IMI,Item05,Fiz a atividade porque eu não tinha outra escolha
350.0,59.0,IMI,Item06,Senti-me pressionado enquanto fazia a atividade
351.0,59.0,IMI,Item07,Achei que a atividade seria chata
352.0,59.0,IMI,Item08,Descreveria a atividade como muito interessante
353.0,59.0,IMI,Item09,Achei a atividade muito agradável
354.0,59.0,IMI,Item10,Eu senti que tive escolha para realizar a atividade
355.0,59.0,IMI,Item11,"Enquanto estava fazendo a atividade, refleti o quanto eu gostei"
388.0,60.0,IMI,Item12,Foi muito descontraído realizar a atividade
389.0,60.0,IMMS,Item14,Foi bom concluir com êxito a atividade
390.0,60.0,IMI,Item13,Senti como se eu tivesse sido obrigado a fazer a atividade
391.0,60.0,IMI,Item14,Me esforcei muito na realização da atividade.
392.0,60.0,IMI,Item15,Para mim foi importante realizar bem a atividade
393.0,60.0,IMMS,Item15,Foi claro para mim como as tarefas da atividade estiveram relacionadas com coisas que eu já conheço
394.0,60.0,IMI,Item16,Fiz a atividade porque eu quis
395.0,60.0,IMI,Item17,A atividade não chamou minha atenção
396.0,60.0,IMI,Item18,Realmente não tive escolha para realizar (ou não) a atividade
397.0,60.0,IMI,Item19,Não coloquei muita esforço na atividade
398.0,60.0,IMI,Item20,Senti que não fiz a atividade por vontade própria
399.0,60.0,IMI,Item21,Gostei muito de fazer a atividade
400.0,60.0,IMI,Item22,Tive que me esforçar muito na atividade
401.0,60.0,IMI,Item23,Não me senti nervoso ao realizar a atividade
402.0,60.0,IMI,Item24,A atividade foi divertida
403.0,60.0,IMMS,Item16,Houve algo interessante no início desta atividade que chamou minha atenção.
404.0,60.0,IMMS,Item17,Completar as tarefas da atividade me deu uma sensação satisfatória de realização
405.0,60.0,IMMS,Item18,O ambiente e as tarefas da atividade foram atraentes
406.0,60.0,IMMS,Item19,Completar a atividade com sucesso foi importante para mim
407.0,60.0,IMMS,Item20,Como as tarefas foram definidas na atividade ajudou a prender minha atenção
408.0,60.0,IMMS,Item21,A atividade foi muito abstrata que foi difícil manter minha atenção
409.0,60.0,IMMS,Item22,Eu gostei tanto da atividade que eu gostaria de saber mais sobre este tópico
410.0,60.0,IMMS,Item23,O ambiente em que foi executada a atividade pareceu sem graça e desagradável
411.0,60.0,IMMS,Item24,As tarefas da atividade foram relevante para os meus interesses
412.0,60.0,IMMS,Item25,A forma como a informação foi organizada no ambiente da atividade ajudou a manter a minha atenção
