UserID,P1s0,P1s1,P1s2,P1s3,P2s0,P2s1,P2s2,P2s3,P3s0,P3s1,P3s2,P3s3,P4s0,P4s1,P4s2,P4s3
10116,1,2,3,3,1,1,1,1,1,1,1,1,0,0,0,0
10119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10120,1,1,2,2,1,1,1,1,1,2,2,3,1,2,3,4
10121,1,1,2,2,1,1,1,2,0,0,0,0,NA,NA,NA,NA
10122,1,1,1,1,1,2,3,4,0,0,0,0,NA,NA,NA,NA
10123,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0
10125,1,2,3,4,1,1,1,1,0,0,0,0,0,0,0,0
10126,1,2,2,3,1,1,2,2,0,0,0,0,0,0,0,0
10127,1,1,2,2,1,1,1,1,0,0,0,0,NA,NA,NA,NA
10128,1,2,3,4,1,1,1,1,0,0,0,0,0,0,0,0
10129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10130,1,1,1,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA
10131,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10133,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0
10134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10135,1,1,1,1,1,2,2,3,0,0,0,0,0,0,0,0
10136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10137,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
10138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10139,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10140,1,1,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
10141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10142,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
10143,1,2,2,3,1,2,2,3,0,0,0,0,NA,NA,NA,NA
10144,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
10145,1,2,2,3,1,2,3,4,1,1,2,2,1,1,1,1
10146,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0
10147,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10151,1,1,1,1,1,2,3,4,0,0,0,0,NA,NA,NA,NA
10152,1,2,3,4,1,2,3,3,1,2,3,4,0,0,0,0
10153,1,1,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
10154,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
