UserID,P2s0,P2s1,P2s2,P2s3,P3s0,P3s1,P3s2,P3s3
10169,1,1,1,2,NA,NA,NA,NA
10171,1,2,2,3,1,1,2,2
10172,1,2,3,4,1,1,1,1
10175,1,1,2,2,1,2,3,3
10176,1,1,1,1,1,1,1,1
10178,1,1,1,1,1,1,2,2
10181,1,2,3,4,1,2,3,4
10184,1,1,2,2,1,2,2,3
10187,1,2,3,4,1,1,1,1
10188,1,1,2,2,1,2,3,4
10189,1,2,2,3,1,2,3,4
10191,1,2,3,3,1,1,1,2
10192,1,1,2,2,NA,NA,NA,NA
10193,1,2,2,3,1,2,2,3
10196,1,1,1,1,1,2,3,3
10197,1,1,1,2,NA,NA,NA,NA
10198,1,1,1,1,1,1,1,1
10199,1,2,3,4,1,1,1,1
10200,1,1,1,1,1,1,1,1
10201,1,1,1,1,1,1,1,1
10202,1,1,1,1,NA,NA,NA,NA
10203,1,1,1,1,NA,NA,NA,NA
10204,1,1,1,1,NA,NA,NA,NA
10206,1,2,2,3,1,2,3,4
10208,1,2,3,4,1,1,1,2
10209,1,2,3,3,1,1,2,2
10210,1,1,1,1,1,2,2,3
10211,1,1,2,2,1,2,2,3
10212,1,2,2,3,NA,NA,NA,NA
10214,1,1,1,1,1,1,1,1
10215,1,2,3,4,1,2,3,4
10216,1,2,3,4,1,2,3,4
10217,1,2,3,3,1,1,1,1
10218,1,1,1,2,1,2,3,4
10223,1,2,3,4,1,1,1,1
10224,1,2,2,3,NA,NA,NA,NA
10231,1,2,3,4,1,1,2,2
10240,1,1,2,2,NA,NA,NA,NA
