UserID,PFs0,PFs1,PFs2,PFs3,PGs0,PGs1,PGs2,PGs3,PHs0,PHs1,PHs2,PHs3
10169,1,2,3,3,1,1,2,2,1,2,3,4
10170,1,1,2,2,1,2,3,3,1,2,3,4
10171,1,1,2,2,1,1,1,1,1,1,1,1
10172,1,1,1,2,1,2,2,3,1,2,2,3
10174,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
10175,1,1,1,1,1,1,1,2,1,1,1,2
10176,1,2,3,3,1,2,2,3,1,2,3,4
10178,NA,NA,NA,NA,1,2,2,3,1,1,1,1
10179,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA
10181,1,2,3,4,1,1,1,1,1,2,2,3
10184,1,1,1,2,1,1,1,1,1,1,1,1
10185,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA
10186,1,2,3,4,1,2,3,4,1,2,3,4
10188,1,1,1,1,1,1,1,1,1,1,1,1
10189,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA
10190,1,1,2,2,NA,NA,NA,NA,1,2,3,4
10191,1,1,1,1,1,2,3,4,1,2,3,3
10192,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
10193,1,2,2,3,1,1,1,1,NA,NA,NA,NA
10196,NA,NA,NA,NA,1,2,3,3,1,2,2,3
10197,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
10198,1,1,1,1,1,1,1,2,1,1,1,1
10199,1,2,3,4,NA,NA,NA,NA,1,1,2,2
10201,1,1,1,1,1,1,1,1,NA,NA,NA,NA
10204,1,1,2,2,1,1,2,2,1,1,2,2
10206,1,1,1,1,1,1,1,1,1,1,2,2
10208,1,1,1,1,1,1,1,1,1,1,1,1
10209,1,1,1,1,1,1,1,1,NA,NA,NA,NA
10210,1,2,2,3,1,2,3,4,NA,NA,NA,NA
10213,1,2,3,4,1,2,2,3,1,2,2,3
10214,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
10215,1,2,3,4,1,2,3,4,1,2,3,4
10217,1,1,2,2,1,2,3,4,1,1,1,1
10218,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA
10219,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA
10221,1,2,3,3,1,2,3,4,NA,NA,NA,NA
10226,1,2,3,4,NA,NA,NA,NA,1,1,1,1
10227,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
10228,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA
10231,1,1,1,1,1,1,1,1,NA,NA,NA,NA
10232,1,2,3,4,1,1,2,2,1,1,2,2
10234,1,1,2,2,1,1,2,2,1,2,3,4
10237,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA
10240,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA
